1,302459.179 302460.370 302461.565 302462.804 302464.025 302465.110 302466.244 302467.285 302468.305 302469.325 302470.382 302471.354 302472.422 302473.369 302474.189 302475.191 302475.946 302476.721 302477.523 302478.316 302479.141 302479.954 302480.824 302481.576 302482.404 302483.119 302483.971 302484.627 302485.392 302486.121 302486.888 302487.724 302488.634 302489.472 302490.258 302491.078 302491.838 302492.678 302493.382 302494.195 302495.010 302495.884 302496.663 302497.436 ,4123709.065 4123711.223 4123713.421 4123715.607 4123717.791 4123719.736 4123721.738 4123723.586 4123725.480 4123727.338 4123729.305 4123730.956 4123732.839 4123734.625 4123736.161 4123737.867 4123739.286 4123740.709 4123742.093 4123743.590 4123745.087 4123746.479 4123748.068 4123749.409 4123750.923 4123752.187 4123753.715 4123754.990 4123756.302 4123757.686 4123759.119 4123760.601 4123762.277 4123763.698 4123765.077 4123766.544 4123767.951 4123769.454 4123770.720 4123772.209 4123773.680 4123775.174 4123776.548 4123777.851 ,  
2,302498.924 302499.383 302499.986 302500.506 302501.048 302501.566 302502.154 302502.737 302503.155 302503.684 302504.230 302504.877 302505.546 302506.085 302506.663 302507.291 302507.991 302508.546 ,4123780.512 4123781.347 4123782.440 4123783.384 4123784.375 4123785.316 4123786.324 4123787.417 4123788.226 4123789.200 4123790.229 4123791.377 4123792.527 4123793.559 4123794.598 4123795.732 4123796.984 4123798.016 , 
3,302509.617 302509.930 302510.264 302510.616 302510.950 302511.319 302511.684 302512.075 302512.453 302512.845 302513.214 302513.570 302513.968 302514.322 302514.674 302515.044 302515.367 302515.670 302515.997 302516.287 302516.597 302516.851 302517.124 302517.428 302517.777 302518.087 302518.456 302518.826 302519.172 302519.472 302519.782 302520.052 302520.369 302520.705 302521.009 302521.318 302521.648 302521.978 ,4123799.965 4123800.514 4123801.147 4123801.762 4123802.417 4123803.090 4123803.749 4123804.448 4123805.139 4123805.838 4123806.506 4123807.161 4123807.869 4123808.511 4123809.144 4123809.823 4123810.403 4123810.946 4123811.529 4123812.050 4123812.611 4123813.069 4123813.567 4123814.127 4123814.754 4123815.324 4123815.981 4123816.610 4123817.243 4123817.797 4123818.368 4123818.882 4123819.466 4123820.099 4123820.653 4123821.213 4123821.820 4123822.413 , 
4,302523.295 302523.800 302524.308 302524.864 302525.361 302525.747 302526.185 302526.567 302527.031 302527.539 302528.088 302528.592 302529.052 302529.468 302529.891 302530.247 302530.684 302531.105 302531.512 302531.938 302532.376 302532.880 302533.385 302533.845 302534.364 302534.883 302535.388 ,4123824.706 4123825.634 4123826.529 4123827.520 4123828.406 4123829.115 4123829.898 4123830.591 4123831.404 4123832.331 4123833.284 4123834.197 4123835.006 4123835.733 4123836.512 4123837.179 4123837.958 4123838.735 4123839.453 4123840.221 4123840.985 4123841.927 4123842.877 4123843.634 4123844.583 4123845.488 4123846.393 , 
5,302536.701 302537.235 302537.725 302538.237 302538.719 302539.231 302539.706 302540.127 302540.572 302541.152 302541.668 302542.165 302542.664 302543.230 302543.868 302544.387 302544.871 302545.368 302545.813 302546.221 302546.659 302547.117 302547.599 302548.067 302548.467 302548.846 ,4123848.779 4123849.699 4123850.641 4123851.568 4123852.421 4123853.356 4123854.185 4123854.944 4123855.758 4123856.798 4123857.724 4123858.629 4123859.517 4123860.562 4123861.689 4123862.644 4123863.512 4123864.380 4123865.145 4123865.849 4123866.621 4123867.424 4123868.218 4123869.004 4123869.664 4123870.303 , 
6,4123871.642 4123872.265 4123872.988 4123873.611 4123874.238 4123874.839 4123875.429 4123876.008 4123876.631 4123877.276 4123877.855 4123878.389 4123878.983 4123879.498 4123880.003 4123880.529 4123880.960 4123881.397 4123881.935 4123882.436 4123883.056 4123883.656 4123884.287 4123884.907 4123885.452 4123885.993 4123886.583 4123887.125 4123887.651 4123888.152 ,4123871.642 4123872.265 4123872.988 4123873.611 4123874.238 4123874.839 4123875.429 4123876.008 4123876.631 4123877.276 4123877.855 4123878.389 4123878.983 4123879.498 4123880.003 4123880.529 4123880.960 4123881.397 4123881.935 4123882.436 4123883.056 4123883.656 4123884.287 4123884.907 4123885.452 4123885.993 4123886.583 4123887.125 4123887.651 4123888.152 , 
7,302559.718 302560.171 302560.553 302560.935 302561.332 302561.695 302562.062 302562.433 302562.789 302563.207 302563.587 302563.961 302564.391 302564.717 302565.055 302565.341 302565.687 302566.040 302566.414 302566.774 302567.082 302567.438 302567.772 302568.124 302568.510 302568.851 302569.277 302569.656 302570.068 302570.409 302570.762 302571.066 302571.441 302571.793 302572.189 302572.494 302572.832 302573.140 302573.437 302573.707 302574.031 302574.345 302574.615 302574.924 302575.288 302575.658 302575.995 302576.350 302576.699 302577.035 302577.413 302577.744 302578.075 302578.423 302578.726 302579.047 302579.398 302579.778 302580.134 302580.479 302580.805 302581.184 302581.532 302582.007 302582.393 ,4123889.721 4123890.560 4123891.231 4123891.940 4123892.637 4123893.297 4123893.961 4123894.659 4123895.304 4123896.064 4123896.766 4123897.445 4123898.239 4123898.829 4123899.432 4123899.947 4123900.572 4123901.208 4123901.861 4123902.518 4123903.089 4123903.716 4123904.336 4123904.967 4123905.671 4123906.302 4123907.122 4123907.852 4123908.612 4123909.265 4123909.918 4123910.515 4123911.224 4123911.906 4123912.668 4123913.283 4123913.949 4123914.562 4123915.135 4123915.669 4123916.297 4123916.920 4123917.459 4123918.072 4123918.792 4123919.524 4123920.186 4123920.925 4123921.651 4123922.351 4123923.122 4123923.803 4123924.513 4123925.236 4123925.879 4123926.539 4123927.277 4123928.082 4123928.835 4123929.581 4123930.274 4123931.105 4123931.877 4123932.878 4123933.761 , 
8,302583.172 302583.423 302583.648 302583.882 302584.141 302584.366 302584.600 302584.850 302585.142 302585.392 302585.651 302585.835 302586.060 302586.260 302586.477 302586.661 302586.853 302587.137 302587.337 302587.579 302587.838 302588.063 302588.322 302588.539 302588.773 302588.981 302589.223 302589.457 302589.733 302589.966 302590.208 302590.492 302590.726 302590.984 302591.151 302591.402 302591.610 302591.811 302591.986 302592.186 302592.353 302592.520 302592.712 302592.879 302593.054 302593.246 302593.447 302593.622 302593.755 302593.906 302594.081 302594.239 302594.348 302594.456 302594.590 302594.749 302594.874 302594.974 302595.074 302595.183 302595.258 302595.333 302595.458 302595.516 302595.566 302595.675 302595.750 302595.809 302595.875 302595.934 302595.975 302596.017 302596.101 302596.092 302596.159 302596.201 302596.243 302596.284 302596.309 302596.343 302596.376 302596.401 302596.426 302596.443 302596.468 302596.476 302596.493 302596.518 302596.551 302596.560 302596.585 302596.618 302596.643 302596.660 302596.685 302596.685 302596.727 302596.752 302596.760 302596.793 302596.827 302596.827 302596.852 302596.860 302596.860 302596.869 302596.877 302596.894 302596.910 302582.889 302583.172 302583.423 302583.648 302583.882 302584.141 302584.366 302584.600 302584.850 302585.142 302585.392 302585.651 302585.835 302586.060 302586.260 302586.477 302586.661 302586.853 302587.137 302587.337 302587.579 302587.838 302588.063 302588.322 302588.539 302588.773 302588.981 302589.223 302589.457 302589.733 302589.966 302590.208 302590.492 302590.726 302590.984 302591.151 302591.402 302591.610 302591.811 302591.986 302592.186 302592.353 302592.520 302592.712 302592.879 302593.054 302593.246 302593.447 302593.622 302593.755 302593.906 302594.081 302594.239 302594.348 302594.456 302594.590 302594.749 302594.874 302594.974 302595.074 302595.183 302595.258 302595.333 302595.458 302595.516 302595.566 302595.675 302595.750 302595.809 302595.875 302595.934 302595.975 302596.017 302596.101 302596.092 302596.159 302596.201 302596.243 302596.284 302596.309 302596.343 302596.376 302596.401 302596.426 302596.443 302596.468 302596.476 302596.493 302596.518 302596.551 302596.560 302596.585 302596.618 302596.643 302596.660 302596.685 302596.685 302596.727 302596.752 302596.760 302596.793 302596.827 302596.827 302596.852 302596.860 302596.860 302596.869 302596.877 302596.894 ,4123935.515 4123936.082 4123936.625 4123937.167 4123937.718 4123938.319 4123938.878 4123939.463 4123940.155 4123940.765 4123941.332 4123941.850 4123942.392 4123942.926 4123943.469 4123943.995 4123944.437 4123945.171 4123945.722 4123946.290 4123946.899 4123947.508 4123948.159 4123948.735 4123949.370 4123949.962 4123950.621 4123951.272 4123952.015 4123952.700 4123953.426 4123954.277 4123954.978 4123955.679 4123956.322 4123957.015 4123957.799 4123958.400 4123959.026 4123959.669 4123960.270 4123960.820 4123961.455 4123961.997 4123962.632 4123963.283 4123963.959 4123964.560 4123965.110 4123965.678 4123966.312 4123966.863 4123967.464 4123968.040 4123968.607 4123969.275 4123969.909 4123970.527 4123971.153 4123971.821 4123972.297 4123972.856 4123973.482 4123974.007 4123974.608 4123975.251 4123975.902 4123976.495 4123977.154 4123977.755 4123978.289 4123978.898 4123979.533 4123980.092 4123980.593 4123981.227 4123981.736 4123982.312 4123982.888 4123983.339 4123983.806 4123984.332 4123984.799 4123985.266 4123985.701 4123986.093 4123986.543 4123986.977 4123987.403 4123987.896 4123988.413 4123988.897 4123989.331 4123989.882 4123990.383 4123990.800 4123991.284 4123991.735 4123992.211 4123992.670 4123993.179 4123993.546 4123993.972 4123994.397 4123994.856 4123995.340 4123995.766 4123996.200 4123996.601 4123934.864 4123935.515 4123936.082 4123936.625 4123937.167 4123937.718 4123938.319 4123938.878 4123939.463 4123940.155 4123940.765 4123941.332 4123941.850 4123942.392 4123942.926 4123943.469 4123943.995 4123944.437 4123945.171 4123945.722 4123946.290 4123946.899 4123947.508 4123948.159 4123948.735 4123949.370 4123949.962 4123950.621 4123951.272 4123952.015 4123952.700 4123953.426 4123954.277 4123954.978 4123955.679 4123956.322 4123957.015 4123957.799 4123958.400 4123959.026 4123959.669 4123960.270 4123960.820 4123961.455 4123961.997 4123962.632 4123963.283 4123963.959 4123964.560 4123965.110 4123965.678 4123966.312 4123966.863 4123967.464 4123968.040 4123968.607 4123969.275 4123969.909 4123970.527 4123971.153 4123971.821 4123972.297 4123972.856 4123973.482 4123974.007 4123974.608 4123975.251 4123975.902 4123976.495 4123977.154 4123977.755 4123978.289 4123978.898 4123979.533 4123980.092 4123980.593 4123981.227 4123981.736 4123982.312 4123982.888 4123983.339 4123983.806 4123984.332 4123984.799 4123985.266 4123985.701 4123986.093 4123986.543 4123986.977 4123987.403 4123987.896 4123988.413 4123988.897 4123989.331 4123989.882 4123990.383 4123990.800 4123991.284 4123991.735 4123992.211 4123992.670 4123993.179 4123993.546 4123993.972 4123994.397 4123994.856 4123995.340 4123995.766 4123996.200 , 
9,302596.926 302596.935 302596.945 302596.953 302596.962 302596.969 302596.978 302596.990 302596.998 302597.004 302597.016 302597.025 302597.034 302597.043 302597.048 302597.060 302597.068 302597.081 302597.088 302597.096 302597.106 302597.115 302597.122 302597.131 302597.140 302597.150 302597.158 302597.169 302597.176 302597.187 302597.196 302597.201 302597.214 302597.217 302597.234 302597.243 302597.248 302597.257 302597.268 302597.275 302597.285 302597.294 302597.304 302597.315 302597.361 302597.413 ,4123997.050 4123997.385 4123997.769 4123998.168 4123998.572 4123998.927 4123999.267 4123999.686 4124000.030 4124000.452 4124000.802 4124001.189 4124001.551 4124001.907 4124002.294 4124002.698 4124003.045 4124003.455 4124003.824 4124004.190 4124004.537 4124004.903 4124005.315 4124005.694 4124006.051 4124006.446 4124006.815 4124007.180 4124007.548 4124007.959 4124008.322 4124008.679 4124009.051 4124009.407 4124009.828 4124010.182 4124010.580 4124010.939 4124011.337 4124011.716 4124012.102 4124012.504 4124012.919 4124013.437 4124013.910 4124014.383 , 
10,302597.582 302597.692 302597.822 302597.969 302598.148 302598.323 302598.516 302598.670 302598.874 302599.084 302599.266 302599.466 302599.666 302599.869 302600.069 302600.251 302600.360 302600.469 302600.500 302600.528 302600.542 302600.539 302600.539 302600.542 302600.546 302600.542 302600.546 302600.546 302600.556 302600.556 302600.553 302600.556 302600.567 302600.563 302600.560 302600.563 302600.574 302600.574 302600.570 302600.563 302600.556 302600.556 302600.553 302600.549 302600.525 302600.532 302600.528 302600.511 302600.507 302600.493 302600.483 302600.479 302600.476 302600.465 302600.451 302600.444 302600.423 302600.420 302600.416 302600.385 302600.385 302600.371 302600.388 302600.388 302600.390 ,4124015.938 4124016.741 4124017.824 4124018.921 4124020.355 4124021.845 4124023.405 4124024.835 4124026.479 4124028.123 4124029.665 4124031.232 4124032.894 4124034.517 4124036.203 4124037.714 4124038.828 4124040.157 4124041.472 4124042.614 4124043.761 4124044.900 4124045.969 4124047.091 4124048.146 4124049.243 4124050.298 4124051.399 4124052.496 4124053.646 4124054.775 4124056.012 4124057.211 4124058.417 4124059.647 4124060.860 4124062.199 4124063.584 4124065.049 4124066.539 4124068.004 4124069.469 4124071.183 4124072.933 4124074.587 4124076.441 4124078.278 4124079.891 4124081.447 4124083.126 4124084.672 4124086.495 4124088.300 4124090.214 4124091.897 4124093.741 4124094.859 4124096.180 4124097.696 4124098.985 4124100.292 4124101.635 4124102.998 4124104.120 4124104.961 , 
11,302600.364 302600.364 302600.332 302600.311 302600.269 302600.248 302600.195 302600.153 302600.111 302600.069 302600.038 302599.964 302599.901 302599.743 302599.659 302599.449 302599.028 302598.523 302598.103 302597.556 302596.799 302596.041 302595.410 302594.485 302593.307 302592.277 302591.214 302590.131 302588.554 302587.208 302585.988 302584.873 302583.843 302582.854 302581.466 302580.404 302579.268 ,4124106.973 4124107.530 4124108.193 4124108.740 4124109.455 4124109.991 4124110.685 4124111.421 4124112.326 4124113.430 4124114.324 4124115.502 4124116.774 4124117.615 4124118.488 4124119.582 4124120.550 4124121.307 4124121.938 4124122.569 4124123.368 4124124.125 4124124.672 4124125.345 4124126.060 4124126.628 4124127.027 4124127.469 4124127.869 4124128.058 4124128.121 4124128.163 4124128.163 4124128.163 4124128.142 4124128.121 4124128.121 , 
12,302577.433 302576.933 302576.373 302575.948 302575.432 302575.022 302574.520 302574.084 302573.466 302572.709 302572.109 302571.483 302570.705 302570.022 302569.438 302568.875 302568.334 302567.845 302567.366 302566.930 302566.467 302565.915 302565.410 302564.890 302564.511 302563.996 302563.507 302563.070 302562.608 302562.319 302561.877 ,4124128.058 4124128.058 4124128.055 4124128.061 4124128.066 4124128.061 4124128.055 4124128.053 4124128.069 4124128.053 4124128.053 4124128.063 4124128.090 4124128.126 4124128.174 4124128.216 4124128.258 4124128.305 4124128.368 4124128.421 4124128.463 4124128.510 4124128.563 4124128.600 4124128.642 4124128.684 4124128.726 4124128.773 4124128.789 4124128.810 4124128.826 , 
13,302560.407 302559.646 302558.594 302558.012 302557.418 302556.859 302556.254 302555.784 302555.404 302555.247 302555.292 302555.477 302555.784 302556.053 302556.573 302557.178 302557.894 302558.532 302559.282 302560.032 302560.883 302561.823 302562.617 302563.350 302564.078 302565.007 302565.925 302566.792 302567.780 302568.821 302569.901 302571.029 302571.983 302573.105 302573.981 302574.764 302575.827 302576.793 ,4124128.796 4124128.751 4124128.639 4124128.528 4124128.281 4124128.013 4124127.587 4124126.983 4124126.334 4124125.685 4124125.058 4124124.498 4124124.028 4124123.625 4124123.189 4124122.920 4124122.786 4124122.797 4124122.887 4124122.954 4124123.032 4124123.122 4124123.217 4124123.334 4124123.424 4124123.519 4124123.608 4124123.653 4124123.695 4124123.695 4124123.706 4124123.715 4124123.701 4124123.715 4124123.712 4124123.712 4124123.712 4124123.681 , 
