1,360956.258 360958.523 360960.856 360963.188 360965.229 360967.741 360969.659 360971.565 360973.376 360975.624 360978.226 360980.783 360983.598 360985.908 360988.745 360991.111 360993.309 360995.473 360997.357 360999.017,4065819.355 4065819.31 4065819.355 4065819.332 4065819.31 4065819.332 4065819.287 4065819.282 4065819.276 4065819.287 4065819.265 4065819.242 4065819.22 4065819.209 4065819.186 4065819.186 4065819.153 4065819.164 4065819.153 4065819.13,1,2,70,no
2,360999.649 361000.631 361001.614 361002.836 361003.818 361004.746 361005.717 361006.503 361007.277 361008.129 ,4065819.139 4065819.139 4065819.182 4065819.226 4065819.204 4065819.237 4065819.237 4065819.259 4065819.281 4065819.281 ,2,3,50,no
3,361011.053 361012.363 361013.673 361015.004 361016.226 361017.438 361018.562 361019.707 361021.061 361022.338 361023.614 361024.902 361026.212 361027.511 361028.754 361030.097 361031.461 361033.001 361034.255 361035.673 361036.972 361038.478 361039.821 361041.097 361042.101 361043.476 361044.851 361046.194 361047.569 361048.682 361049.795 ,4065819.281 4065819.271 4065819.271 4065819.237 4065819.215 4065819.237 4065819.226 4065819.215 4065819.215 4065819.182 4065819.204 4065819.182 4065819.182 4065819.182 4065819.161 4065819.172 4065819.161 4065819.095 4065819.117 4065819.095 4065819.062 4065819.073 4065819.051 4065819.051 4065819.031 4065819.019 4065819.019 4065819.031 4065818.986 4065818.975 4065818.975 ,3,4,70,no
4,361050.616 361051.377 361051.991 361052.605 361053.26 361053.694 361054.127 361054.488 361054.823 361055.093 361055.363 361055.65 361055.994 361056.337 361056.526 361056.665 361056.722 361056.755 361056.763 361056.771 361056.788 361056.788 361056.804 361056.804 ,4065818.951 4065818.942 4065818.926 4065818.942 4065818.926 4065818.967 4065818.951 4065819.016 4065819.147 4065819.278 4065819.433 4065819.581 4065819.925 4065820.309 4065820.735 4065821.324 4065821.979 4065822.527 4065823.043 4065823.534 4065824.271 4065824.95 4065825.474 4065825.916 ,4,5,100,no
5,361056.845 361056.808 361056.804 361056.804 361056.792 361056.801 361056.801 361056.783 361056.775 361056.771 361056.771 361056.771 361056.763 361056.755 361056.763 361056.763 361056.738 361056.731 ,4065826.824 4065827.749 4065828.539 4065829.165 4065829.841 4065830.696 4065831.477 4065832.611 4065833.851 4065834.976 4065836.622 4065837.465 4065838.406 4065839.306 4065840.272 4065841.017 4065841.925 4065843.079 ,5,6,50,no
6,361056.731 361056.681 361056.599 361056.436 361056.202 361055.895 361055.593 361055.306 361054.958 361054.569 361054.193 361053.702 361053.231 361052.703 361052.355 361052.044 ,4065843.935 4065844.459 4065844.892 4065845.433 4065845.805 4065846.182 4065846.546 4065846.898 4065847.233 4065847.602 4065847.925 4065848.129 4065848.22 4065848.26 4065848.269 4065848.256 ,6,7,50,no
7,361051.664 361051.238 361050.821 361050.289 361049.683 361049.194 361048.795 361048.459 361048.132 361047.747 361047.303 361046.898 361046.495 361046.043 361045.613 361045.206 361044.827 361044.453 361044.132 361043.706 361043.266 361042.712 361042.294 361041.858 361041.517 361041.136 361040.671 361040.231 361039.822 361039.327 361038.831 361038.386 361037.781 361037.347 361036.727 361034.752 361031.724 361029.104 361027.746 361026.305 361025.339 361023.686 361021.869 361020.527 361018.481 361016.909 361015.141 361013.373 361012.129 361010.918 361009.444 361007.873 361030.299 361033.361 361035.751 361019.446 ,4065848.261 4065848.261 4065848.265 4065848.271 4065848.275 4065848.277 4065848.281 4065848.283 4065848.287 4065848.291 4065848.295 4065848.299 4065848.297 4065848.301 4065848.303 4065848.308 4065848.312 4065848.312 4065848.314 4065848.318 4065848.321 4065848.32 4065848.328 4065848.328 4065848.334 4065848.336 4065848.338 4065848.342 4065848.351 4065848.348 4065848.353 4065848.359 4065848.363 4065848.363 4065848.375 4065848.379 4065848.379 4065848.412 4065848.428 4065848.461 4065848.445 4065848.461 4065848.461 4065848.445 4065848.494 4065848.511 4065848.543 4065848.511 4065848.543 4065848.576 4065848.608 4065848.576 4065848.412 4065848.412 4065848.379 4065848.477 ,7,8,100,no
8,361007.683 361007.462 361007.198 361006.772 361005.994 361005.341 361004.775 361004.308 361003.817 361003.416 361002.933 361002.303 361001.632 361001.084 361000.519 361000.159 360999.815 361006.363 ,4065848.578 4065848.576 4065848.571 4065848.567 4065848.601 4065848.584 4065848.601 4065848.601 4065848.592 4065848.592 4065848.592 4065848.608 4065848.616 4065848.608 4065848.608 4065848.633 4065848.616 4065848.567 ,8,9,70,no
9,360999.492 360999.238 360998.891 360998.501 360998.157 360997.789 360997.359 360997.069 360996.754 360996.431 360995.989 360995.645 360995.203 360994.718 360994.317 360993.832 360993.204 360992.686 360992.161 360991.675 360991.215 360990.821 360990.372 360989.893 360989.484 360989.042 360988.451 360987.981 360987.551 360987.124 360986.686 360986.228 360985.831 360985.453 360985.081 360984.701 360984.281 360983.873 360983.411 360982.874 360982.303 360981.798 360981.327 360980.771 360980.296 360979.854 360979.283 360978.601 360978.037 360977.491 360976.932 360976.257 360975.602 360974.892 360974.221 360973.673 360973.159 360972.647 360972.148 360971.624 360971.131 360970.652 360969.885 360969.101 360968.555 360967.951 360967.376 360967.047 360966.427 360965.784 360965.062 360964.381 360963.325 360962.163 360960.804 360959.666 360958.807 360957.931 360957.276 ,4065848.625 4065848.633 4065848.629 4065848.633 4065848.633 4065848.637 4065848.641 4065848.645 4065848.641 4065848.641 4065848.637 4065848.645 4065848.653 4065848.659 4065848.655 4065848.659 4065848.668 4065848.674 4065848.676 4065848.681 4065848.684 4065848.684 4065848.691 4065848.692 4065848.692 4065848.698 4065848.702 4065848.701 4065848.704 4065848.709 4065848.715 4065848.713 4065848.715 4065848.721 4065848.723 4065848.723 4065848.725 4065848.727 4065848.733 4065848.733 4065848.733 4065848.743 4065848.745 4065848.743 4065848.752 4065848.754 4065848.756 4065848.756 4065848.764 4065848.766 4065848.771 4065848.772 4065848.774 4065848.78 4065848.788 4065848.782 4065848.791 4065848.801 4065848.803 4065848.805 4065848.807 4065848.803 4065848.815 4065848.817 4065848.823 4065848.827 4065848.831 4065848.833 4065848.842 4065848.846 4065848.844 4065848.852 4065848.861 4065848.852 4065848.885 4065848.893 4065848.901 4065848.893 4065848.917 ,9,10,70,no
10,360956.581 360956.089 360955.516 360955.099 360954.511 360953.908 360953.356 360952.821 360952.312 360951.927 360951.666 360951.461 360951.289 360951.224 360952.521 360953.091 360954.186 360952.091 ,4065848.786 4065848.704 4065848.582 4065848.479 4065848.222 4065847.891 4065847.531 4065847.072 4065846.503 4065845.778 4065845.214 4065844.739 4065844.326 4065843.916 4065846.811 4065847.305 4065848.058 4065846.151 ,10,11,100,no
11,360951.164 360951.146 360951.127 360951.185 360951.103 360951.076 360951.045 360951.015 360950.989 360950.954 360950.922 360950.895 360950.863 360950.831 360950.807 360950.792 360950.776 360950.761 360950.764 360950.772 360950.774 360950.781 360950.788 360950.811 360950.809 360950.817 360950.825 360950.835 360950.848 360950.848 360950.861 360950.868 360950.884 360950.884 360950.915 360950.921 360950.941 360950.958 360950.971 360950.976 360950.983 360951.001 360951.007 ,4065843.411 4065843.275 4065843.134 4065843.575 4065842.941 4065842.729 4065842.483 4065842.243 4065842.007 4065841.752 4065841.496 4065841.253 4065841.021 4065840.763 4065840.469 4065840.191 4065839.887 4065839.566 4065839.226 4065838.884 4065838.518 4065838.023 4065837.523 4065837.016 4065836.419 4065835.934 4065835.389 4065834.892 4065834.333 4065833.901 4065833.388 4065832.901 4065832.267 4065831.341 4065830.407 4065829.676 4065828.841 4065828.001 4065827.271 4065826.447 4065825.846 4065825.281 4065824.759 ,11,12,50,no
