1,360951.135 360955.176 360959.542 360963.466 360966.944 360971.556 360975.145 360978.968 360982.179 360986.380 360989.720 360993.134 360996.721 361000.555 361004.298 361007.973 361011.335 361015.505 361018.950 361022.720 361026.577 361030.586 361034.719 361038.922 361043.500 361047.903 361051.907 361054.756 ,4065819.681 4065819.619 4065819.589 4065819.583 4065819.552 4065819.521 4065819.500 4065819.472 4065819.451 4065819.438 4065819.389 4065819.401 4065819.352 4065819.337 4065819.328 4065819.288 4065819.273 4065819.254 4065819.223 4065819.199 4065819.180 4065819.156 4065819.131 4065819.091 4065819.076 4065819.119 4065819.365 4065819.684 ,1,2,50,no
2,361056.110 361056.429 361056.503 361056.504 ,4065820.141 4065820.473 4065820.835 4065821.125 ,2,3,50,no
3,361056.525 361056.531 361056.554 361056.574 361056.598 361056.586 361056.623 361056.623 361056.647 361056.672 361056.721 361056.574 361056.082 361055.296 ,4065822.779 4065824.369 4065826.517 4065828.453 4065830.270 4065832.162 4065834.102 4065835.944 4065837.922 4065839.678 4065841.545 4065843.215 4065844.836 4065846.261 ,3,4,50,no
4,361054.363 361054.159 361053.812 361053.370 361052.897 ,4065847.144 4065847.294 4065847.518 4065847.788 4065847.966 ,4,5,50,no
5,361052.551 361052.272 361051.912 361051.443 361050.678 361049.944 361049.226 361048.464 361047.520 361046.570 361045.706 361044.828 361043.966 361043.189 361042.342 361041.512 361040.752 361039.757 361038.787 361037.991 361037.116 361036.312 361035.526 361034.667 361033.835 361032.856 361031.885 361031.031 361030.282 361029.437 361028.485 361027.727 361026.918 361026.132 361025.102 361024.219 361023.361 361022.472 361021.574 361020.818 361019.730 361018.725 361017.875 361017.020 361016.079 361015.151 361014.040 361013.143 361012.075 361010.933 361009.988 361008.955 361007.629 361006.389 361005.101 361003.852 361002.624 361001.494 361000.143 360999.191 360997.865 360996.760 360995.494 360993.965 360992.756 360991.258 360989.882 360988.095 360986.229 360984.411 360982.785 360980.942 360979.290 360977.767 360976.882 360975.806 360974.789 360973.739 360972.799 360971.841 360970.767 360969.863 360968.752 360967.936 360966.846 360965.848 360965.025 360964.073 360963.109 360961.985 360961.066 360959.904 360959.013 360958.184 360956.987 360956.182 360955.568 ,4065848.094 4065848.168 4065848.250 4065848.287 4065848.284 4065848.287 4065848.293 4065848.293 4065848.295 4065848.298 4065848.301 4065848.303 4065848.305 4065848.308 4065848.306 4065848.310 4065848.312 4065848.312 4065848.321 4065848.324 4065848.324 4065848.324 4065848.330 4065848.336 4065848.332 4065848.336 4065848.349 4065848.341 4065848.349 4065848.339 4065848.346 4065848.349 4065848.356 4065848.358 4065848.359 4065848.358 4065848.367 4065848.365 4065848.367 4065848.372 4065848.374 4065848.386 4065848.374 4065848.385 4065848.392 4065848.392 4065848.392 4065848.392 4065848.386 4065848.397 4065848.408 4065848.410 4065848.422 4065848.416 4065848.419 4065848.435 4065848.441 4065848.441 4065848.441 4065848.437 4065848.441 4065848.447 4065848.440 4065848.449 4065848.435 4065848.453 4065848.447 4065848.471 4065848.478 4065848.490 4065848.481 4065848.490 4065848.490 4065848.508 4065848.500 4065848.509 4065848.512 4065848.496 4065848.521 4065848.514 4065848.521 4065848.515 4065848.521 4065848.533 4065848.531 4065848.533 4065848.533 4065848.539 4065848.545 4065848.551 4065848.546 4065848.553 4065848.557 4065848.551 4065848.539 4065848.422 4065848.204 ,5,6,50,no
6,360954.973 360954.549 360954.095 360953.659 360953.266 360952.737 ,4065847.940 4065847.701 4065847.326 4065846.927 4065846.571 4065845.945 ,6,7,50,no
7,360952.252 360951.866 360951.486 360951.158 360951.078 360951.043 360951.044 360951.021 360950.997 360950.984 360950.947 360950.920 360950.911 360950.908 360950.871 360950.858 360950.901 360950.981 360951.055 360951.276 360951.632 ,4065845.306 4065844.471 4065843.304 4065842.217 4065841.140 4065839.902 4065838.545 4065836.706 4065835.355 4065833.814 4065832.383 4065830.789 4065829.890 4065828.775 4065827.731 4065826.773 4065825.687 4065824.796 4065823.715 4065822.979 4065822.217 ,7,8,50,no
8,360952.173 360952.543 360952.905 360953.187 ,4065821.626 4065821.296 4065820.987 4065820.762 ,8,9,50,no
9,360953.633 360954.217 360954.874 360955.581 360956.717 360957.687 360958.731 360960.155 360961.568 360962.685 360963.692 360964.47 360965.859 360966.911 360968.076 360969.7 360970.779 360971.936 360973.068 360974.281 360975.495 360976.974 360978.258 360979.732 360980.825 360981.966 360983.305 360984.522 360985.664 360986.894 360988.165 360989.348 360990.696 360991.874 360993.312 360994.715 360995.771 360997.331 360998.498 360999.824 ,4065820.445 4065820.138 4065819.899 4065819.747 4065819.63 4065819.6 4065819.6 4065819.575 4065819.587 4065819.575 4065819.575 4065819.569 4065819.555 4065819.55 4065819.547 4065819.547 4065819.527 4065819.518 4065819.521 4065819.5 4065819.489 4065819.491 4065819.465 4065819.477 4065819.465 4065819.46 4065819.445 4065819.44 4065819.44 4065819.423 4065819.414 4065819.403 4065819.394 4065819.402 4065819.394 4065819.372 4065819.354 4065819.403 4065819.636 4065820.017 ,9,10,50,no
10,361001.174 361001.888 361002.131 361002.329 ,4065820.768 4065821.414 4065822.237 4065823.319 ,10,11,50,no
11,361002.355 361002.35 361002.338 361002.34 361002.333 361002.321 361002.324 361002.312 361002.324 361002.318 361002.318 361002.3 361002.312 361002.303 361002.3 361002.29 361002.293 361002.29 361002.3 361002.275 361002.275 361002.183 ,4065824.423 4065825.369 4065826.29 4065827.186 4065828.206 4065829.182 4065830.03 4065831.073 4065832.084 4065833.023 4065833.791 4065834.758 4065835.421 4065836.41 4065837.398 4065838.353 4065839.13 4065839.95 4065840.825 4065841.847 4065842.572 4065843.525 ,11,12,50,no
12,361001.667 361001.197 361000.728 361000.166 360999.585 ,4065844.446 4065845.109 4065845.588 4065846.012 4065846.427 ,12,13,50,no
13,360998.512 360997.799 360996.914 360995.938 360994.667 360993.571 360992.235 360990.856 360988.924 360987.489 360985.999 360984.141 360982.904 360981.433 360979.782 360978.184 360976.89 360975.181 360973.859 360972.192 360970.207 360968.834 360967.471 360965.818 360964.584 360963.055 360961.83 360959.49 360958.177 360956.98 360956.174 ,4065847.152 4065847.532 4065847.827 4065848.029 4065848.269 4065848.453 4065848.435 4065848.448 4065848.453 4065848.481 4065848.478 4065848.485 4065848.49 4065848.49 4065848.49 4065848.508 4065848.504 4065848.504 4065848.495 4065848.518 4065848.522 4065848.522 4065848.531 4065848.527 4065848.541 4065848.536 4065848.536 4065848.564 4065848.541 4065848.545 4065848.421 ,13,14,50,no
14,360954.963 360954.544 360954.092 360953.512 360953.226 360952.737 ,4065847.946 4065847.700 4065847.322 4065846.807 4065846.530 4065845.942 ,14,15,50,no
15,360952.613 360952.523 360952.378 360952.249 360952.164 360952.055 360951.956 360951.871 360951.781 360951.687 360951.592 360951.502 360951.424 360951.320 360951.235 360951.151 360951.115 360951.092 360951.077 360951.062 360951.053 360951.046 360951.051 360951.035 360951.041 360951.032 360951.018 360951.012 360951.001 360950.993 360950.988 360950.985 360950.976 360950.973 360950.954 360950.950 360950.946 360950.943 360950.931 360950.925 360950.924 360950.916 360950.910 360950.909 360950.905 360950.901 360950.897 360950.881 360950.862 360950.864 360950.860 360950.857 360950.848 360950.838 360950.822 360950.814 360950.791 360950.588 360950.220 360949.713 360948.893 360948.271 ,4065845.804 4065845.700 4065845.525 4065845.352 4065845.180 4065844.972 4065844.740 4065844.491 4065844.208 4065843.922 4065843.630 4065843.374 4065843.112 4065842.776 4065842.497 4065842.198 4065841.795 4065841.440 4065841.115 4065840.501 4065839.850 4065839.421 4065838.836 4065838.239 4065837.837 4065837.399 4065836.799 4065836.324 4065835.773 4065835.149 4065834.708 4065834.237 4065833.728 4065833.212 4065832.650 4065832.307 4065832.051 4065831.811 4065831.432 4065831.067 4065830.725 4065830.252 4065829.915 4065829.472 4065829.083 4065828.579 4065828.206 4065827.766 4065827.324 4065826.877 4065826.479 4065825.947 4065825.243 4065824.433 4065823.532 4065822.836 4065822.007 4065821.298 4065820.589 4065820.064 4065819.778 4065819.714 ,15,16,50,no
